[2019-06-22 14:27:02 152] INFO  network.impl.ServerServicesImpl - Response{type=FILE_CHUNK, content=FileContent{fileId=0, chunkNumber=19}, source=Ryadh}
[2019-06-22 14:27:02 153] INFO  network.impl.ServerServicesImpl - Handle Responses called.
[2019-06-22 14:27:02 153] INFO  network.impl.ServerServicesImpl - Response{type=FILE_CHUNK, content=FileContent{fileId=0, chunkNumber=21}, source=Ryadh}
[2019-06-22 14:27:02 153] INFO  network.impl.ServerServicesImpl - Handle Responses called.
[2019-06-22 14:27:02 153] INFO  network.impl.ServerServicesImpl - Handle Responses called.
[2019-06-22 14:27:02 154] INFO  network.impl.ServerServicesImpl - Response{type=FILE_CHUNK, content=FileContent{fileId=0, chunkNumber=24}, source=Ryadh}
[2019-06-22 14:27:02 154] INFO  network.impl.ServerServicesImpl - Response{type=FILE_CHUNK, content=FileContent{fileId=0, chunkNumber=22}, source=Ryadh}
[2019-06-22 14:27:02 153] INFO  network.impl.ServerServicesImpl - Handle Responses called.
[2019-06-22 14:27:02 154] INFO  network.impl.ServerServicesImpl - Response{type=FILE_CHUNK, content=FileContent{fileId=0, chunkNumber=23}, source=Ryadh}
[2019-06-22 14:27:02 155] INFO  controller.impl.ChatController - File Received : FileDescriptor{fileId=0, chunksTotalNumber=43, fileName='wikistage.PNG'}
[2019-06-22 14:27:23 758] INFO  network.impl.ServerServicesImpl - Request : Request{type=DISCONNECT, content=null, destination=null}
[2019-06-22 14:27:23 759] INFO  network.impl.InputStreamReaderImpl - End of connection ...
[2019-06-22 14:27:23 760] INFO  network.impl.InputStreamReaderImpl - Leaving InputStreamReaderImpl ...
[2019-06-22 14:27:23 765] INFO  network.impl.ServerServicesImpl - Handle Responses called.
[2019-06-22 14:27:23 769] INFO  network.impl.ServerServicesImpl - Response{type=REMOVE_USER, content=null, source=Mohamed}
[2019-06-22 14:27:26 709] INFO  network.impl.ServerServicesImpl - Request : Request{type=DISCONNECT, content=null, destination=null}
[2019-06-22 14:27:26 709] INFO  network.impl.InputStreamReaderImpl - End of connection ...
[2019-06-22 14:27:26 709] INFO  network.impl.InputStreamReaderImpl - Leaving InputStreamReaderImpl ...
